Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_014.jpg;-7.505595;1;0;1.8636;101.0705;87.34364;1.271233;49.85806;0.001876789
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_064.jpg;-9.737644;1;0;1.89192;101.1476;87.42706;1.271626;48.95949;359.9894
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_130.jpg;-7.400057;1;0;1.935256;101.2279;87.51096;1.272096;47.94337;359.9688
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_181.jpg;-5.221242;1;0;1.965446;101.3101;87.59687;1.268402;47.18831;359.9886
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_231.jpg;-2.990543;1;0;2.011422;101.3661;87.65523;1.275646;46.83731;0.001628924
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_281.jpg;0;1;0;2.055149;101.4519;87.74459;1.299683;46.58121;9.351227E-05
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_348.jpg;0;1;0;2.084977;101.539;87.83582;1.304885;46.52016;-0.0009808668
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_398.jpg;0;1;0;2.130679;101.628;87.92899;1.308393;46.49726;-0.001183639
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_448.jpg;0;1;0;2.174823;101.6884;87.99212;1.310017;46.48988;-0.001213583
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_497.jpg;0;1;0;2.219116;101.7805;88.0884;1.313283;46.4768;-0.001217054
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_547.jpg;0;1;0;2.233751;101.843;88.15367;1.318211;46.4693;-0.001239314
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_598.jpg;0;1;0;2.27706;101.9382;88.25305;1.318441;46.45822;-0.001231201
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_647.jpg;0;1;0;2.321544;102.0027;88.32039;1.32144;46.45045;-0.001252659
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_715.jpg;0;1;0;2.365087;102.101;88.42292;1.324558;46.44068;-0.001268086
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_764.jpg;0;1;0;2.394334;102.2011;88.52729;1.324989;46.42772;-0.001267392
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_831.jpg;0;1;0;2.452012;102.303;88.63356;1.328883;46.4161;-0.001281806
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_881.jpg;0;0.9041917;0;2.495118;102.4068;88.74168;1.334254;46.40509;-0.001310631
